Feature ID	Taxon	Confidence
c71a0b723402b8d3e22b6af121320ea5	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cardiobacteriales; f__Wohlfahrtiimonadaceae; g__Ignatzschineria; s__	0.9931984338195182
36b5e4ac752ae117b8157c44e0c571d1	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Salinicoccaceae; g__Nosocomiicoccus; s__Nosocomiicoccus massiliensis	0.9745887004881956
e7dd01d01c0203abc3708549d99e4e9c	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Staphylococcaceae	0.995857050801097
65d43491988bfe557da4d86a5ba25dae	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	0.9997823090955639
3d9bedd08e0a0d68cce44ed7c37addb7	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_732334; g__Proteus	0.9999155328694013
4bc01bc8f96d637800d5b73e009374c2	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae; g__Savagea; s__Savagea faecisuis	0.9992153858011374
76bed91839d8bc0da43c0a743e27b9ba	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Paucilactobacillus; s__Paucilactobacillus oligofermentans	0.9837397108932326
eef6d3c42ab7df7398b35f58e10d7f8d	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Caballeronia	0.9070418585463301
44158349d8858abc6c04aada0c131da5	d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Megasphaeraceae; g__Megasphaera_A_38685; s__Megasphaera_A_38685 elsdenii	0.9154720519950789
513911099f78aacf1260a355b4b72b6c	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__Rothia endophytica	0.8857137726250809
d016c583e11159a52458a1f718e92cf4	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Tissierellales	0.9989409762487409
762564b661e50592bfa772adf7ff740b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_E_857960; s__Bacteroides_E_857960 coprosuis	0.9986891624944352
21610dcbd05af4529071c39e2997cf17	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae; g__Metalysinibacillus	0.9783479681460533
f4206b8c3d4e8f3bd54f960952e0f6be	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Hathewaya; s__Hathewaya limosa	0.9999690762579224
5c90c1871672ce1632be5add2ece9f01	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae; g__Savagea; s__Savagea faecisuis	0.9992986260602755
fb466b8ed3e9b801793c7cff0ad0bfa3	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Salinicoccaceae; g__Nosocomiicoccus; s__Nosocomiicoccus massiliensis	0.9936394784459659
1f86a8c0f2cb0a3444ab06657305dafa	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Furfurilactobacillus; s__Furfurilactobacillus rossiae	0.7946447875177625
0da32f8f5c5fe39c14b5309de056e8b3	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__Rothia nasimurium	0.878462781380898
04edaa963304c466674c30f9f9bb087e	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921	0.9999999998375838
e6484c19c680bde0ffa16f2a1a5d36ea	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_732334; g__Moellerella; s__Moellerella wisconsensis	0.7689964636759566
9580aa8a52ec18a4e92e701cdb595faa	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000	0.9999999999908917
675c847bccbc53942ebb7b8cbb4efc4d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__	0.931764598302146
cd24a0915f66d42f295b507570c0c4b1	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	0.9998592010600464
c80240af2d2a2456f1043628a0f9e3fe	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999999999910171
263ee794791b2bf9061272c114192967	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Flavobacteriaceae; g__Flavobacterium; s__Flavobacterium odoratimimum	0.9982145148938562
f212ad3759f4319aaa51f9a2dc5be324	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae	0.9998890934693798
47f3e16dbd92b803f9b7a0b2df4931f5	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999999984471928
7b9c8d4a1896d84d92ab4820edd025a6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Staphylococcaceae; g__Mammaliicoccus_319278; s__Mammaliicoccus lentus	0.8513295845838
720bbb0411edd2b97a8cc3d66e3b47e0	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Vagococcaceae; g__Vagococcus_B	0.9806500096447084
a247d381c3f9c0ce74beabcfb9f1629f	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Pasteurellaceae; g__Actinobacillus_A_733574; s__	0.9704605885307973
5c664a2c162271deb11541a9030ac243	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T septicum	0.8111373572164862
f84e1703bbbc3a7c5c52e833a32bdec8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Flavobacteriaceae; g__Flavobacterium; s__Flavobacterium odoratimimum	0.9904137856627672
694513b466d10ee9ae07c33c3e87af20	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Weeksellaceae; g__Empedobacter; s__	0.996430023484131
3274f3a65d5f01da385496cba5f1ea5f	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Latilactobacillus	0.9878564243877682
9209e4a08eddc573938ddc57af7b023b	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_H_221916; s__Clostridium_H_221916 haemolyticum	0.9780232478379225
c6c3ab4e828fb40d6e05967b7aac9338	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781	0.9999995243826112
f8a5e31abd123fe502965a7d6884cfd7	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Latilactobacillus	0.9968430978516514
be22632d5e3f6175707a3213d7a90ad2	d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Dialisteraceae; g__Dialister_37762; s__Dialister sp900543165	0.9653631933911169
e6b92787e742914e5a1f6c234e785b08	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae; g__Sporosarcina	0.8952481286447808
4d8be781270f65ca9a99b464a625596a	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Loigolactobacillus; s__Loigolactobacillus coryniformis	0.9846155203192811
bc6c345a2feb70d3210ba7f89530c5b0	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Salinicoccaceae; g__Jeotgalicoccus_A_310962	0.9996739934989093
55b7688dfd42d9b2545d67bb5b0f086c	d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Acidaminococcus; s__Acidaminococcus fermentans	0.9387632152078398
8d703908c09c7cb0da2a4398dd74f9f8	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Terrisporobacter	0.9994771527486033
6348584315770e0d041c8543e15394f1	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Butyricicoccaceae; g__; s__	0.9999878139091571
9639a3291729a3758207b47715d9205f	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Gemmiger_A_73129	0.999999786389449
419fd81c2cdac1a5d38831e40efdc3b0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_639861; f__Halomonadaceae_639861; g__Zymobacter; s__Zymobacter palmae	0.9884497051745008
df031cac71bcde495c611bd4fac2b75a	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium; s__Brevibacterium senegalense	0.9118918937786636
c0bd493b8ee3f248ce1b25e83e2b1737	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae	0.9999603956331184
53ae67ddcbf678181fab8d552e8dc627	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Tissierellales; f__Tissierellaceae	0.9883189642370824
3933143a7528dda8ed42a790f59225ed	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__Dysgonomonas; s__	0.9917171823270783
1261d491facd8509f0e41566cee612cf	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Tissierellales; f__Tissierellaceae; g__Tissierella_A; s__Tissierella_A creatinophila	0.9730918352736029
737c098d1007948d40e6cbaf904b72d9	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Vagococcaceae; g__Vagococcus_B; s__Vagococcus_B fluvialis	0.9221444773576132
e8496fd359afa9479908aeaeb31e7ec0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866	0.9999999940344118
